uniprotid,genename,uniprotname,proteinname,disorders,references
Q68CP4,HGSNAT,HGNAT_HUMAN,Heparan-alpha-glucosaminide N-acetyltransferase,['-'],['28007376']
P15884,TCF4,ITF2_HUMAN,Transcription factor 4,['-'],['28007376']
Q9H0V9,LMAN2L,LMA2L_HUMAN,VIP36-like protein,['-'],['28007376']
Q9UK17,KCND3,KCND3_HUMAN,Potassium voltage-gated channel subfamily D member 3,['MTLE'],"['23483634', '28007376']"
Q5JPH6,EARS2,SYEM_HUMAN,"Probable glutamate--tRNA ligase, mitochondrial",['-'],['28007376']
P35498,SCN1A,SCN1A_HUMAN,Sodium channel protein type 1 subunit alpha,"['Dravet Syndrome', 'JAE', 'JME']","['30558019', '22848613', '28544625', '29924869', '29924869', '28007376']"
P60228,EIF3E,EIF3E_HUMAN,Eukaryotic translation initiation factor 3 subunit E,['-'],['28007376']
Q9Y664,KPTN,KPTN_HUMAN,KICSTOR complex protein kaptin,['-'],['28007376']
Q92832,NELL1,NELL1_HUMAN,Protein kinase C-binding protein NELL1,['-'],['28007376']
Q99574,SERPINI1,NEUS_HUMAN,Neuroserpin,['-'],['28007376']
Q01453,PMP22,PMP22_HUMAN,Peripheral myelin protein 22,['-'],['28007376']
Q8TCY5,MRAP,MRAP_HUMAN,Melanocortin-2 receptor accessory protein,['-'],['28007376']
Q92968,PEX13,PEX13_HUMAN,Peroxisomal membrane protein PEX13,['-'],['28007376']
Q8TCJ2,STT3B,STT3B_HUMAN,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3B,['-'],['28007376']
Q8NER1,TRPV1,TRPV1_HUMAN,Transient receptor potential cation channel subfamily V member 1,['-'],['28007376']
O60682,MSC,MUSC_HUMAN,Musculin,['-'],['28007376']
Q9NWS8,RMND1,RMND1_HUMAN,Required for meiotic nuclear division protein 1 homolog,['-'],['28007376']
Q9NZV8,KCND2,KCND2_HUMAN,Potassium voltage-gated channel subfamily D member 2,['-'],['28007376']
Q12980,NPRL3,NPRL3_HUMAN,GATOR complex protein NPRL3,['-'],['28007376']
Q8IZQ8,MYOCD,MYCD_HUMAN,Myocardin,['-'],['28007376']
P01111,NRAS,RASN_HUMAN,GTPase NRas,['-'],['28007376']
P61764,STXBP1,STXB1_HUMAN,Syntaxin-binding protein 1,"['Dravet Syndrome', 'JME']","['28544625', '29924869', '28007376']"
P02511,CRYAB,CRYAB_HUMAN,Alpha-crystallin B chain,['-'],['28007376']
P61073,CXCR4,CXCR4_HUMAN,C-X-C chemokine receptor type 4,['MTLE'],"['17515952', '28007376']"
P24043,LAMA2,LAMA2_HUMAN,Laminin subunit alpha-2,['-'],['28007376']
Q9ULG1,INO80,INO80_HUMAN,Chromatin-remodeling ATPase INO80,['-'],['28007376']
P01270,PTH,PTHY_HUMAN,Parathyroid hormone,['-'],['28007376']
P51787,KCNQ1,KCNQ1_HUMAN,Potassium voltage-gated channel subfamily KQT member 1,['-'],['28007376']
P41227,NAA10,NAA10_HUMAN,N-alpha-acetyltransferase 10,['-'],['28007376']
P27708,CAD,PYR1_HUMAN,CAD protein,['-'],['28007376']
Q9BZE2,PUS3,PUS3_HUMAN,tRNA pseudouridine(38/39) synthase,['-'],['28007376']
Q9UET6,FTSJ1,TRM7_HUMAN,Putative tRNA (cytidine(32)/guanosine(34)-2'-O)-methyltransferase,['-'],['28007376']
O60315,ZEB2,ZEB2_HUMAN,Zinc finger E-box-binding homeobox 2,['JME'],"['29924869', '28007376']"
Q9NY65,TUBA8,TBA8_HUMAN,Tubulin alpha-8 chain,['-'],['28007376']
Q71U36,TUBA1A,TBA1A_HUMAN,Tubulin alpha-1A chain,['-'],['28007376']
P21817,RYR1,RYR1_HUMAN,Ryanodine receptor 1,['-'],['28007376']
Q13885,TUBB2A,TBB2A_HUMAN,Tubulin beta-2A chain,['-'],['28007376']
Q12824,SMARCB1,SNF5_HUMAN,SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily B member 1,['-'],['28007376']
P20226,TBP,TBP_HUMAN,TATA-box-binding protein,['-'],['28007376']
P15621,ZNF44,ZNF44_HUMAN,Zinc finger protein 44,['-'],['28007376']
Q9UPY5,SLC7A11,XCT_HUMAN,Cystine/glutamate transporter,['-'],['28007376']
Q96MV8,ZDHHC15,ZDH15_HUMAN,Palmitoyltransferase ZDHHC15,['-'],['28007376']
P51571,SSR4,SSRD_HUMAN,Translocon-associated protein subunit delta,['-'],['28007376']
Q9NU63,ZFP57,ZFP57_HUMAN,Zinc finger protein 57 homolog,['-'],['28007376']
P53007,SLC25A1,TXTP_HUMAN,"Tricarboxylate transport protein, mitochondrial",['-'],['28007376']
O96007,MOCS2,MOC2B_HUMAN,Molybdopterin synthase catalytic subunit,['-'],['28007376']
Q9Y4R8,TELO2,TELO2_HUMAN,Telomere length regulation protein TEL2 homolog,['-'],['28007376']
O94855,SEC24D,SC24D_HUMAN,Protein transport protein Sec24D,['-'],['28007376']
O95071,UBR5,UBR5_HUMAN,E3 ubiquitin-protein ligase UBR5,['-'],['28007376']
P07947,YES1,YES_HUMAN,Tyrosine-protein kinase Yes,['-'],['28255556']
Q9BRT2,UQCC2,UQCC2_HUMAN,Ubiquinol-cytochrome-c reductase complex assembly factor 2,['-'],['28007376']
Q6P4I2,WDR73,WDR73_HUMAN,WD repeat-containing protein 73,['-'],['28007376']
Q9Y484,WDR45,WIPI4_HUMAN,WD repeat domain phosphoinositide-interacting protein 4,['-'],['28007376']
O43526,KCNQ2,KCNQ2_HUMAN,Potassium voltage-gated channel subfamily KQT member 2,"['Dravet Syndrome', 'EGTCS']","['30558019', '29924869', '28007376']"
P31645,SLC6A4,SC6A4_HUMAN,Sodium-dependent serotonin transporter,['-'],['28007376']
Q9BUB7,TMEM70,TMM70_HUMAN,"Transmembrane protein 70, mitochondrial",['-'],['28007376']
Q9NVH6,TMLHE,TMLH_HUMAN,"Trimethyllysine dioxygenase, mitochondrial",['-'],['28007376']
P60201,PLP1,MYPR_HUMAN,Myelin proteolipid protein,['-'],['28007376']
P58400,NRXN1,NRX1B_HUMAN,Neurexin-1-beta,['-'],['28007376']
O96033,MOCS2,MOC2A_HUMAN,Molybdopterin synthase sulfur carrier subunit,['-'],['28007376']
Q92753,RORB,RORB_HUMAN,Nuclear receptor ROR-beta,['-'],['28007376']
Q99250,SCN2A,SCN2A_HUMAN,Sodium channel protein type 2 subunit alpha,"['Dravet Syndrome', 'JME']","['28544625', '29924869', '28007376']"
Q9NR45,NANS,SIAS_HUMAN,Sialic acid synthase,['-'],['28007376']
Q8WZ42,TTN,TITIN_HUMAN,Titin,['-'],['28007376']
O15040,TECPR2,TCPR2_HUMAN,Tectonin beta-propeller repeat-containing protein 2,['-'],['28007376']
Q96I59,NARS2,SYNM_HUMAN,"Probable asparagine--tRNA ligase, mitochondrial",['-'],['28007376']
Q9NRC1,ST7,ST7_HUMAN,Suppressor of tumorigenicity 7 protein,['-'],['28007376']
Q8IYL2,TRMT44,TRM44_HUMAN,Probable tRNA (uracil-O(2)-)-methyltransferase,['-'],['28007376']
Q9BYB0,SHANK3,SHAN3_HUMAN,SH3 and multiple ankyrin repeat domains protein 3,['-'],['28007376']
O60687,SRPX2,SRPX2_HUMAN,Sushi repeat-containing protein SRPX2,['-'],['28007376']
Q96Q05,TRAPPC9,TPPC9_HUMAN,Trafficking protein particle complex subunit 9,['-'],['28007376']
O15270,SPTLC2,SPTC2_HUMAN,Serine palmitoyltransferase 2,['-'],['28007376']
Q13813,SPTAN1,SPTN1_HUMAN,"Spectrin alpha chain, non-erythrocytic 1","['JAE', 'JME']","['29924869', '29924869', '28007376']"
Q9BZR6,RTN4R,RTN4R_HUMAN,Reticulon-4 receptor,['-'],['28007376']
Q7Z392,TRAPPC11,TPC11_HUMAN,Trafficking protein particle complex subunit 11,['-'],['28007376']
Q5JUK3,KCNT1,KCNT1_HUMAN,Potassium channel subfamily T member 1,['-'],['28007376']
Q9UL68,MYT1L,MYT1L_HUMAN,Myelin transcription factor 1-like protein,['-'],['28007376']
Q8N9F0,NAT8L,NAT8L_HUMAN,N-acetylaspartate synthetase,['-'],['28007376']
Q13635,PTCH1,PTC1_HUMAN,Protein patched homolog 1,['-'],['28007376']
O60890,OPHN1,OPHN1_HUMAN,Oligophrenin-1,['-'],['28007376']
Q96IV0,NGLY1,NGLY1_HUMAN,Peptide-N(4)-(N-acetyl-beta-glucosaminyl)asparagine amidase,['-'],['28007376']
Q969N2,PIGT,PIGT_HUMAN,GPI transamidase component PIG-T,['-'],['28007376']
P10828,THRB,THB_HUMAN,Thyroid hormone receptor beta,['-'],['28007376']
Q9NZN1,IL1RAPL1,IRPL1_HUMAN,Interleukin-1 receptor accessory protein-like 1,['-'],['28007376']
Q8NCM2,KCNH5,KCNH5_HUMAN,Potassium voltage-gated channel subfamily H member 5,['-'],['28007376']
O00533,CHL1,NCHL1_HUMAN,Neural cell adhesion molecule L1-like protein,['-'],['28007376']
Q9NY46,SCN3A,SCN3A_HUMAN,Sodium channel protein type 3 subunit alpha,['JME'],"['29924869', '28007376']"
Q7RTN6,STRADA,STRAA_HUMAN,STE20-related kinase adapter protein alpha,['-'],['28007376']
P04271,S100B,S100B_HUMAN,Protein S100-B,['-'],['28007376']
Q9BX84,TRPM6,TRPM6_HUMAN,Transient receptor potential cation channel subfamily M member 6,['MTLE'],"['23483634', '28007376']"
Q6UVJ0,SASS6,SAS6_HUMAN,Spindle assembly abnormal protein 6 homolog,['-'],['28007376']
P35711,SOX5,SOX5_HUMAN,Transcription factor SOX-5,['-'],['28007376']
P52788,SMS,SPSY_HUMAN,Spermine synthase,['-'],['28007376']
P51649,ALDH5A1,SSDH_HUMAN,"Succinate-semialdehyde dehydrogenase, mitochondrial",['-'],['28007376']
Q15413,RYR3,RYR3_HUMAN,Ryanodine receptor 3,['-'],['28007376']
Q13501,SQSTM1,SQSTM_HUMAN,Sequestosome-1,['-'],['28007376']
Q96CW6,SLC7A6OS,S7A6O_HUMAN,Probable RNA polymerase II nuclear localization protein SLC7A6OS,['-'],['28007376']
O95425,SVIL,SVIL_HUMAN,Supervillin,['-'],['28007376']
Q9Y5W7,SNX14,SNX14_HUMAN,Sorting nexin-14,['-'],['28007376']
Q92622,RUBCN,RUBIC_HUMAN,Run domain Beclin-1-interacting and cysteine-rich domain-containing protein,['-'],['28007376']
Q96MP8,KCTD7,KCTD7_HUMAN,BTB/POZ domain-containing protein KCTD7,['-'],['28007376']
P46934,NEDD4,NEDD4_HUMAN,E3 ubiquitin-protein ligase NEDD4,['-'],['28007376']
P49810,PSEN2,PSN2_HUMAN,Presenilin-2,['-'],['28007376']
Q9BTW9,TBCD,TBCD_HUMAN,Tubulin-specific chaperone D,['-'],['28007376']
P23258,TUBG1,TBG1_HUMAN,Tubulin gamma-1 chain,['-'],['28007376']
P0DJ07,PET100,PT100_HUMAN,"Protein PET100 homolog, mitochondrial",['-'],['28007376']
P78509,RELN,RELN_HUMAN,Reelin,['MTLE-HS'],"['27094248', '28007376']"
Q9H7P9,PLEKHG2,PKHG2_HUMAN,Pleckstrin homology domain-containing family G member 2,['-'],['28007376']
Q9BVA1,TUBB2B,TBB2B_HUMAN,Tubulin beta-2B chain,['-'],['28007376']
Q9C0K1,SLC39A8,S39A8_HUMAN,Zinc transporter ZIP8,['-'],['28007376']
Q9P2R7,SUCLA2,SUCB1_HUMAN,"Succinate--CoA ligase [ADP-forming] subunit beta, mitochondrial",['-'],['28007376']
Q06330,RBPJ,SUH_HUMAN,Recombining binding protein suppressor of hairless,['-'],['28007376']
Q8TEA7,TBCK,TBCK_HUMAN,TBC domain-containing protein kinase-like protein,['-'],['28007376']
Q9Y617,PSAT1,SERC_HUMAN,Phosphoserine aminotransferase,['-'],['28007376']
Q9UHW9,SLC12A6,S12A6_HUMAN,Solute carrier family 12 member 6,['-'],['28007376']
Q7L0J3,SV2A,SV2A_HUMAN,Synaptic vesicle glycoprotein 2A,['-'],['28007376']
Q9HD40,SEPSECS,SPCS_HUMAN,O-phosphoseryl-tRNA(Sec) selenium transferase,['-'],['28007376']
Q8N8D7,NKAIN3,NKAI3_HUMAN,Sodium/potassium-transporting ATPase subunit beta-1-interacting protein 3,['-'],['28007376']
Q8IWS0,PHF6,PHF6_HUMAN,PHD finger protein 6,['-'],['28007376']
Q15046,KARS,SYK_HUMAN,Lysine--tRNA ligase,['-'],['28007376']
Q8WWV3,RTN4IP1,RT4I1_HUMAN,"Reticulon-4-interacting protein 1, mitochondrial",['-'],['28007376']
P14543,NID1,NID1_HUMAN,Nidogen-1,['-'],['28007376']
O75787,ATP6AP2,RENR_HUMAN,Renin receptor,['-'],['28007376']
P10636,MAPT,TAU_HUMAN,Microtubule-associated protein tau,['-'],['28007376']
P12755,SKI,SKI_HUMAN,Ski oncogene,['-'],['28007376']
P82650,MRPS22,RT22_HUMAN,"28S ribosomal protein S22, mitochondrial",['-'],['28007376']
Q13164,MAPK7,MK07_HUMAN,Mitogen-activated protein kinase 7,['-'],['28255556']
Q9UBX0,HESX1,HESX1_HUMAN,Homeobox expressed in ES cells 1,['-'],['28007376']
Q4G0N4,NADK2,NAKD2_HUMAN,"NAD kinase 2, mitochondrial",['-'],['28007376']
Q7Z4N2,TRPM1,TRPM1_HUMAN,Transient receptor potential cation channel subfamily M member 1,['-'],['28007376']
O00141,SGK1,SGK1_HUMAN,Serine/threonine-protein kinase Sgk1,['-'],['28255556']
Q9Y6X0,SETBP1,SETBP_HUMAN,SET-binding protein,['-'],['28007376']
Q6U841,SLC4A10,S4A10_HUMAN,Sodium-driven chloride bicarbonate exchanger,['-'],['28007376']
P28062,PSMB8,PSB8_HUMAN,Proteasome subunit beta type-8,['-'],['28007376']
Q9BU61,NDUFAF3,NDUF3_HUMAN,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 3,['-'],['28007376']
Q15031,LARS2,SYLM_HUMAN,"Probable leucine--tRNA ligase, mitochondrial",['-'],['28007376']
Q6PI48,DARS2,SYDM_HUMAN,"Aspartate--tRNA ligase, mitochondrial",['-'],['28007376']
Q9BYW2,SETD2,SETD2_HUMAN,Histone-lysine N-methyltransferase SETD2,['-'],['28007376']
Q99592,ZBTB18,ZBT18_HUMAN,Zinc finger and BTB domain-containing protein 18,['-'],['28007376']
Q8TBZ6,TRMT10A,TM10A_HUMAN,tRNA methyltransferase 10 homolog A,['-'],['28007376']
P17014,ZNF12,ZNF12_HUMAN,Zinc finger protein 12,['-'],['28007376']
Q9H3S7,PTPN23,PTN23_HUMAN,Tyrosine-protein phosphatase non-receptor type 23,['-'],['28007376']
Q6PEY2,TUBA3E,TBA3E_HUMAN,Tubulin alpha-3E chain,['-'],['28007376']
Q969G3,SMARCE1,SMCE1_HUMAN,SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily E member 1,['-'],['28007376']
Q63HN8,RNF213,RN213_HUMAN,E3 ubiquitin-protein ligase RNF213,['-'],['28007376']
Q9Y2D2,SLC35A3,S35A3_HUMAN,UDP-N-acetylglucosamine transporter,['-'],['28007376']
P31629,HIVEP2,ZEP2_HUMAN,Transcription factor HIVEP2,['-'],['28007376']
O43426,SYNJ1,SYNJ1_HUMAN,Synaptojanin-1,['-'],['28007376']
Q9UJV3,MID2,TRIM1_HUMAN,Probable E3 ubiquitin-protein ligase MID2,['-'],['28007376']
Q13509,TUBB3,TBB3_HUMAN,Tubulin beta-3 chain,['-'],['28007376']
Q9UBS9,SUCO,SUCO_HUMAN,SUN domain-containing ossification factor,['-'],['28007376']
Q86YT5,SLC13A5,S13A5_HUMAN,Solute carrier family 13 member 5,['-'],['28007376']
Q99726,SLC30A3,ZNT3_HUMAN,Zinc transporter 3,['-'],['28007376']
Q5T011,SZT2,SZT2_HUMAN,KICSTOR complex protein SZT2,['JME'],"['29924869', '28007376']"
P51531,SMARCA2,SMCA2_HUMAN,Probable global transcription activator SNF2L2,['-'],['28007376']
P55851,UCP2,UCP2_HUMAN,Mitochondrial uncoupling protein 2,['-'],['28007376']
Q8NEZ3,WDR19,WDR19_HUMAN,WD repeat-containing protein 19,['-'],['28007376']
Q9Y5E5,PCDHB4,PCDB4_HUMAN,Protocadherin beta-4,['-'],['28007376']
O75970,MPDZ,MPDZ_HUMAN,Multiple PDZ domain protein,['-'],['28007376']
Q9UPP1,PHF8,PHF8_HUMAN,Histone lysine demethylase PHF8,['-'],['28007376']
Q92730,RND1,RND1_HUMAN,Rho-related GTP-binding protein Rho6,['-'],['28255556']
O43181,NDUFS4,NDUS4_HUMAN,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 4, mitochondrial",['-'],['28007376']
Q9BRB3,PIGQ,PIGQ_HUMAN,Phosphatidylinositol N-acetylglucosaminyltransferase subunit Q,['-'],['28007376']
Q9NW08,POLR3B,RPC2_HUMAN,DNA-directed RNA polymerase III subunit RPC2,['-'],['28007376']
Q9GZN7,ROGDI,ROGDI_HUMAN,Protein rogdi homolog,['-'],['28007376']
Q03518,TAP1,TAP1_HUMAN,Antigen peptide transporter 1,['-'],['28007376']
Q8IVH4,MMAA,MMAA_HUMAN,"Methylmalonic aciduria type A protein, mitochondrial",['-'],['28007376']
Q5H8A4,PIGG,PIGG_HUMAN,GPI ethanolamine phosphate transferase 2,['-'],['28007376']
P48551,IFNAR2,INAR2_HUMAN,Interferon alpha/beta receptor 2,['-'],['28007376']
Q13393,PLD1,PLD1_HUMAN,Phospholipase D1,['-'],['28007376']
Q9NZJ4,SACS,SACS_HUMAN,Sacsin,['-'],['28007376']
Q9ULP9,TBC1D24,TBC24_HUMAN,TBC1 domain family member 24,"['JAE', 'JME', 'EGTCS']","['29924869', '29924869', '29924869', '28007376']"
P21675,TAF1,TAF1_HUMAN,Transcription initiation factor TFIID subunit 1,['-'],['28007376']
Q53EL9,SEZ6,SEZ6_HUMAN,Seizure protein 6 homolog,['-'],['28007376']
O95363,FARS2,SYFM_HUMAN,"Phenylalanine--tRNA ligase, mitochondrial",['-'],['28007376']
Q9BZR9,TRIM8,TRIM8_HUMAN,E3 ubiquitin-protein ligase TRIM8,['-'],['28007376']
P30531,SLC6A1,SC6A1_HUMAN,Sodium- and chloride-dependent GABA transporter 1,['-'],['28007376']
P47897,QARS,SYQ_HUMAN,Glutamine--tRNA ligase,['-'],['28007376']
Q8N2C7,UNC80,UNC80_HUMAN,Protein unc-80 homolog,['-'],['28007376']
Q9H270,VPS11,VPS11_HUMAN,Vacuolar protein sorting-associated protein 11 homolog,['-'],['28007376']
Q9H3S4,TPK1,TPK1_HUMAN,Thiamin pyrophosphokinase 1,['-'],['28007376']
P49588,AARS,SYAC_HUMAN,"Alanine--tRNA ligase, cytoplasmic",['-'],['28007376']
Q08357,SLC20A2,S20A2_HUMAN,Sodium-dependent phosphate transporter 2,['-'],['28007376']
Q9HA77,CARS2,SYCM_HUMAN,"Probable cysteine--tRNA ligase, mitochondrial",['-'],['28007376']
P60880,SNAP25,SNP25_HUMAN,Synaptosomal-associated protein 25,['-'],['28007376']
Q6VVB1,NHLRC1,NHLC1_HUMAN,E3 ubiquitin-protein ligase NHLRC1,['-'],['28007376']
O14841,OPLAH,OPLA_HUMAN,5-oxoprolinase,['-'],['28007376']
O75381,PEX14,PEX14_HUMAN,Peroxisomal membrane protein PEX14,['-'],['28007376']
P17600,SYN1,SYN1_HUMAN,Synapsin-1,['-'],['28007376']
P46977,STT3A,STT3A_HUMAN,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3A,['-'],['28007376']
Q9Y597,KCTD3,KCTD3_HUMAN,BTB/POZ domain-containing protein KCTD3,['-'],['28007376']
P56589,PEX3,PEX3_HUMAN,Peroxisomal biogenesis factor 3,['-'],['28007376']
Q9Y2Z2,MTO1,MTO1_HUMAN,"Protein MTO1 homolog, mitochondrial",['-'],['28007376']
P06400,RB1,RB_HUMAN,Retinoblastoma-associated protein,['-'],['28007376']
A6NFN3,RBFOX3,RFOX3_HUMAN,RNA binding protein fox-1 homolog 3,['-'],['28007376']
Q9H2X9,SLC12A5,S12A5_HUMAN,Solute carrier family 12 member 5,['-'],['28007376']
O14773,TPP1,TPP1_HUMAN,Tripeptidyl-peptidase 1,['JME'],"['29924869', '28007376']"
Q7Z6J9,TSEN54,SEN54_HUMAN,tRNA-splicing endonuclease subunit Sen54,['-'],['28007376']
P00734,F2,THRB_HUMAN,Prothrombin,['-'],['28007376']
Q86VV8,RTTN,RTTN_HUMAN,Rotatin,['-'],['28007376']
Q6XYQ8,SYT10,SYT10_HUMAN,Synaptotagmin-10,['-'],['28007376']
Q9NRA2,SLC17A5,S17A5_HUMAN,Sialin,['-'],['28007376']
O43819,SCO2,SCO2_HUMAN,"Protein SCO2 homolog, mitochondrial",['-'],['28007376']
P07602,PSAP,SAP_HUMAN,Prosaposin,['-'],['28007376']
Q01959,SLC6A3,SC6A3_HUMAN,Sodium-dependent dopamine transporter,['JAE'],"['11988776', '28007376']"
Q9BWG6,SCNM1,SCNM1_HUMAN,Sodium channel modifier 1,['-'],['28007376']
O75044,SRGAP2,SRGP2_HUMAN,SLIT-ROBO Rho GTPase-activating protein 2,['-'],['28007376']
Q96QK1,VPS35,VPS35_HUMAN,Vacuolar protein sorting-associated protein 35,['-'],['28007376']
Q9Y487,ATP6V0A2,VPP2_HUMAN,V-type proton ATPase 116 kDa subunit a isoform 2,['-'],['28007376']
Q9H115,NAPB,SNAB_HUMAN,Beta-soluble NSF attachment protein,['-'],['28007376']
A7XYQ1,SOBP,SOBP_HUMAN,Sine oculis-binding protein homolog,['-'],['28007376']
Q9ULL8,SHROOM4,SHRM4_HUMAN,Protein Shroom4,['-'],['28007376']
Q8NCE0,TSEN2,SEN2_HUMAN,tRNA-splicing endonuclease subunit Sen2,['-'],['28007376']
Q92574,TSC1,TSC1_HUMAN,Hamartin,['FCD'],"['31857538', '28007376']"
P01213,PDYN,PDYN_HUMAN,Proenkephalin-B,['MTLE-HS'],"['30932156', '28007376']"
Q9NX14,NDUFB11,NDUBB_HUMAN,"NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 11, mitochondrial",['-'],['28007376']
Q07699,SCN1B,SCN1B_HUMAN,Sodium channel subunit beta-1,"['MTLE-HS', 'Dravet Syndrome', 'JME']","['27094248', '30932156', '28544625', '29924869', '28007376']"
P35499,SCN4A,SCN4A_HUMAN,Sodium channel protein type 4 subunit alpha,['-'],['28007376']
Q9H5K3,POMK,SG196_HUMAN,Protein O-mannose kinase,['-'],['28007376']
Q9NT68,TENM2,TEN2_HUMAN,Teneurin-2,['-'],['28007376']
P41732,TSPAN7,TSN7_HUMAN,Tetraspanin-7,['-'],['28007376']
P50897,PPT1,PPT1_HUMAN,Palmitoyl-protein thioesterase 1,['-'],['28007376']
P11233,RALA,RALA_HUMAN,Ras-related protein Ral-A,['-'],['28255556']
P43007,SLC1A4,SATT_HUMAN,Neutral amino acid transporter A,['-'],['28007376']
Q92186,ST8SIA2,SIA8B_HUMAN,"Alpha-2,8-sialyltransferase 8B",['-'],['28007376']
Q03164,KMT2A,KMT2A_HUMAN,Histone-lysine N-methyltransferase 2A,['-'],['28007376']
Q9UKY4,POMT2,POMT2_HUMAN,Protein O-mannosyl-transferase 2,['-'],['28007376']
Q15029,EFTUD2,U5S1_HUMAN,116 kDa U5 small nuclear ribonucleoprotein component,['-'],['28007376']
Q7Z6L0,PRRT2,PRRT2_HUMAN,Proline-rich transmembrane protein 2,['JME'],"['29924869', '28007376']"
P51817,PRKX,PRKX_HUMAN,cAMP-dependent protein kinase catalytic subunit PRKX,['-'],['28007376']
Q9HC29,NOD2,NOD2_HUMAN,Nucleotide-binding oligomerization domain-containing protein 2,['-'],['28007376']
P00750,PLAT,TPA_HUMAN,Tissue-type plasminogen activator,['-'],['28007376']
P51532,SMARCA4,SMCA4_HUMAN,Transcription activator BRG1,['MTLE'],"['23483634', '28007376']"
O43379,WDR62,WDR62_HUMAN,WD repeat-containing protein 62,['-'],['28007376']
Q9GZZ9,UBA5,UBA5_HUMAN,Ubiquitin-like modifier-activating enzyme 5,['-'],['28007376']
P46937,YAP1,YAP1_HUMAN,Transcriptional coactivator YAP1,['-'],['28007376']
Q9NVV9,THAP1,THAP1_HUMAN,THAP domain-containing protein 1,['-'],['28007376']
Q6ICL3,TANGO2,TNG2_HUMAN,Transport and Golgi organization protein 2 homolog,['-'],['28007376']
P48431,SOX2,SOX2_HUMAN,Transcription factor SOX-2,['-'],['28007376']
Q9NQZ6,ZC4H2,ZC4H2_HUMAN,Zinc finger C4H2 domain-containing protein,['-'],['28007376']
Q14524,SCN5A,SCN5A_HUMAN,Sodium channel protein type 5 subunit alpha,['-'],['28007376']
Q15858,SCN9A,SCN9A_HUMAN,Sodium channel protein type 9 subunit alpha,"['Dravet Syndrome', 'JME', 'EGTCS']","['30558019', '28544625', '29924869', '29924869', '28007376']"
Q9Y6J8,STYXL1,STYL1_HUMAN,Serine/threonine/tyrosine-interacting-like protein 1,['-'],['28007376']
P04350,TUBB4A,TBB4A_HUMAN,Tubulin beta-4A chain,['-'],['28007376']
Q15904,ATP6AP1,VAS1_HUMAN,V-type proton ATPase subunit S1,['-'],['28007376']
Q9UJ04,TSPYL4,TSYL4_HUMAN,Testis-specific Y-encoded-like protein 4,['Dravet Syndrome'],"['22848613', '28007376']"
P27449,ATP6V0C,VATL_HUMAN,V-type proton ATPase 16 kDa proteolipid subunit,['-'],['28007376']
Q9Y566,SHANK1,SHAN1_HUMAN,SH3 and multiple ankyrin repeat domains protein 1,['-'],['28007376']
Q9NQH7,XPNPEP3,XPP3_HUMAN,Xaa-Pro aminopeptidase 3,['-'],['28007376']
O43175,PHGDH,SERA_HUMAN,D-3-phosphoglycerate dehydrogenase,['-'],['28007376']
Q8WW01,TSEN15,SEN15_HUMAN,tRNA-splicing endonuclease subunit Sen15,['-'],['28007376']
Q96NA8,TSNARE1,TSNA1_HUMAN,t-SNARE domain-containing protein 1,['-'],['28007376']
Q9UNP4,ST3GAL5,SIAT9_HUMAN,"Lactosylceramide alpha-2,3-sialyltransferase",['-'],['28007376']
P30566,ADSL,PUR8_HUMAN,Adenylosuccinate lyase,['-'],['28007376']
Q93098,WNT8B,WNT8B_HUMAN,Protein Wnt-8b,['-'],['28007376']
Q8IZF0,NALCN,NALCN_HUMAN,Sodium leak channel non-selective protein,['-'],['28007376']
Q9H3S5,PIGM,PIGM_HUMAN,GPI mannosyltransferase 1,['-'],['28007376']
P35354,PTGS2,PGH2_HUMAN,Prostaglandin G/H synthase 2,['MTLE'],"['17515952', '28007376']"
P07225,PROS1,PROS_HUMAN,Vitamin K-dependent protein S,['-'],['28007376']
P41229,KDM5C,KDM5C_HUMAN,Lysine-specific demethylase 5C,['-'],['28007376']
O43525,KCNQ3,KCNQ3_HUMAN,Potassium voltage-gated channel subfamily KQT member 3,['JME'],"['29924869', '28007376']"
P22061,PCMT1,PIMT_HUMAN,Protein-L-isoaspartate(D-aspartate) O-methyltransferase,['-'],['28007376']
Q75T13,PGAP1,PGAP1_HUMAN,GPI inositol-deacylase,['-'],['28007376']
Q96FM1,PGAP3,PGAP3_HUMAN,Post-GPI attachment to proteins factor 3,['-'],['28007376']
P78368,CSNK1G2,KC1G2_HUMAN,Casein kinase I isoform gamma-2,['-'],['28007376']
Q8WTW4,NPRL2,NPRL2_HUMAN,GATOR complex protein NPRL2,['-'],['28007376']
Q9NPG4,PCDH12,PCD12_HUMAN,Protocadherin-12,['-'],['28007376']
Q6T4R5,NHS,NHS_HUMAN,Nance-Horan syndrome protein,['-'],['28007376']
Q99453,PHOX2B,PHX2B_HUMAN,Paired mesoderm homeobox protein 2B,['-'],['28007376']
P06213,INSR,INSR_HUMAN,Insulin receptor,['-'],['28255556']
