Uniprot ID,Gene Name,Uniprot Name,Protein Name
P61599,NAA20,NAA20_HUMAN,N-alpha-acetyltransferase 20
Q9NV56,MRGBP,MRGBP_HUMAN,MRG/MORF4L-binding protein
Q92823,NRCAM,NRCAM_HUMAN,Neuronal cell adhesion molecule
A0A1B0GTQ4,MYMX,MYMX_HUMAN,Protein myomixer
Q9Y5G6,PCDHGA7,PCDG7_HUMAN,Protocadherin gamma-A7
P08237,PFKM,PFKAM_HUMAN,"ATP-dependent 6-phosphofructokinase, muscle type"
Q70IA8,MOB3C,MOB3C_HUMAN,MOB kinase activator 3C
Q8IUG5,MYO18B,MY18B_HUMAN,Unconventional myosin-XVIIIb
Q13402,MYO7A,MYO7A_HUMAN,Unconventional myosin-VIIa
P28069,POU1F1,PIT1_HUMAN,Pituitary-specific positive transcription factor 1
Q9UBD5,ORC3,ORC3_HUMAN,Origin recognition complex subunit 3
P0DKB6,MPC1L,MPC1L_HUMAN,Mitochondrial pyruvate carrier 1-like protein
Q5T9C9,PIP5KL1,PI5L1_HUMAN,Phosphatidylinositol 4-phosphate 5-kinase-like protein 1
Q13772,NCOA4,NCOA4_HUMAN,Nuclear receptor coactivator 4
Q9UKX3,MYH13,MYH13_HUMAN,Myosin-13
Q96HC4,PDLIM5,PDLI5_HUMAN,PDZ and LIM domain protein 5
Q6ZR37,PLEKHG7,PKHG7_HUMAN,Pleckstrin homology domain-containing family G member 7
Q5H9M0,PWWP3B,PWP3B_HUMAN,PWWP domain-containing DNA repair factor 3B
Q13526,PIN1,PIN1_HUMAN,Peptidyl-prolyl cis-trans isomerase NIMA-interacting 1
Q96KN8,PLAAT5,PLAT5_HUMAN,Phospholipase A and acyltransferase 5
Q9H720,CWH43,PG2IP_HUMAN,PGAP2-interacting protein
Q86TC9,MYPN,MYPN_HUMAN,Myopalladin
P31930,UQCRC1,QCR1_HUMAN,"Cytochrome b-c1 complex subunit 1, mitochondrial"
Q96Q06,PLIN4,PLIN4_HUMAN,Perilipin-4
O43312,MTSS1,MTSS1_HUMAN,Protein MTSS 1
Q7Z5A4,PRSS42P,PRS42_HUMAN,Putative serine protease 42
Q08257,CRYZ,QOR_HUMAN,Quinone oxidoreductase
Q99541,PLIN2,PLIN2_HUMAN,Perilipin-2
Q9NX57,RAB20,RAB20_HUMAN,Ras-related protein Rab-20
Q969X0,RILPL2,RIPL2_HUMAN,RILP-like protein 2
Q9Y6I8,PXMP4,PXMP4_HUMAN,Peroxisomal membrane protein 4
P43351,RAD52,RAD52_HUMAN,DNA repair protein RAD52 homolog
P52435,POLR2J,RPB11_HUMAN,DNA-directed RNA polymerase II subunit RPB11-a
P49758,RGS6,RGS6_HUMAN,Regulator of G-protein signaling 6
W6CW81,PYDC5,PYDC5_HUMAN,Pyrin domain-containing protein 5
Q05823,RNASEL,RN5A_HUMAN,2-5A-dependent ribonuclease
Q96BH1,RNF25,RNF25_HUMAN,E3 ubiquitin-protein ligase RNF25
Q9NQ39,RPS10P5,RS10L_HUMAN,Putative 40S ribosomal protein S10-like
Q969K3,RNF34,RNF34_HUMAN,E3 ubiquitin-protein ligase RNF34
Q9H0H5,RACGAP1,RGAP1_HUMAN,Rac GTPase-activating protein 1
A6NKH3,RPL37AP8,RL37L_HUMAN,Putative 60S ribosomal protein L37a-like protein
O94761,RECQL4,RECQ4_HUMAN,ATP-dependent DNA helicase Q4
Q6ZS11,RINL,RINL_HUMAN,Ras and Rab interactor-like protein
Q01201,RELB,RELB_HUMAN,Transcription factor RelB
P07949,RET,RET_HUMAN,Proto-oncogene tyrosine-protein kinase receptor Ret
Q9BYZ6,RHOBTB2,RHBT2_HUMAN,Rho-related BTB domain-containing protein 2
Q9HAU8,RNPEPL1,RNPL1_HUMAN,Aminopeptidase RNPEPL1
Q9NWS8,RMND1,RMND1_HUMAN,Required for meiotic nuclear division protein 1 homolog
Q6ZWT7,MBOAT2,MBOA2_HUMAN,Lysophospholipid acyltransferase 2
P43356,MAGEA2,MAGA2_HUMAN,Melanoma-associated antigen 2
Q8N653,LZTR1,LZTR1_HUMAN,Leucine-zipper-like transcriptional regulator 1
P26012,ITGB8,ITB8_HUMAN,Integrin beta-8
Q9H1H9,KIF13A,KI13A_HUMAN,Kinesin-like protein KIF13A
O00515,LAD1,LAD1_HUMAN,Ladinin-1
Q9Y3E1,HDGFL3,HDGR3_HUMAN,Hepatoma-derived growth factor-related protein 3
Q9NZV8,KCND2,KCND2_HUMAN,Potassium voltage-gated channel subfamily D member 2
Q5JSJ4,INTS6L,INT6L_HUMAN,Integrator complex subunit 6-like
Q8N743,KIR3DL3,KI3L3_HUMAN,Killer cell immunoglobulin-like receptor 3DL3
Q9UQ05,KCNH4,KCNH4_HUMAN,Potassium voltage-gated channel subfamily H member 4
A0A087WSY6,IGKV3D-15,KVD15_HUMAN,Immunoglobulin kappa variable 3D-15
P48050,KCNJ4,KCNJ4_HUMAN,Inward rectifier potassium channel 4
O00634,NTN3,NET3_HUMAN,Netrin-3
Q9NPP4,NLRC4,NLRC4_HUMAN,NLR family CARD domain-containing protein 4
Q8NH72,OR4C6,OR4C6_HUMAN,Olfactory receptor 4C6
O76074,PDE5A,PDE5A_HUMAN,"cGMP-specific 3',5'-cyclic phosphodiesterase"
Q8NGF8,OR4B1,OR4B1_HUMAN,Olfactory receptor 4B1
Q68D85,NCR3LG1,NR3L1_HUMAN,Natural cytotoxicity triggering receptor 3 ligand 1
Q9NPE3,NOP10,NOP10_HUMAN,H/ACA ribonucleoprotein complex subunit 3
Q8NGS3,OR1J1,OR1J1_HUMAN,Olfactory receptor 1J1
P0C7T3,OR56A5,O56A5_HUMAN,Olfactory receptor 56A5
Q99743,NPAS2,NPAS2_HUMAN,Neuronal PAS domain-containing protein 2
Q86YC2,PALB2,PALB2_HUMAN,Partner and localizer of BRCA2
Q96PY6,NEK1,NEK1_HUMAN,Serine/threonine-protein kinase Nek1
Q8N127,OR5AS1,O5AS1_HUMAN,Olfactory receptor 5AS1
O95478,NSA2,NSA2_HUMAN,Ribosome biogenesis protein NSA2 homolog
O43347,MSI1,MSI1H_HUMAN,RNA-binding protein Musashi homolog 1
Q6BCY4,CYB5R2,NB5R2_HUMAN,NADH-cytochrome b5 reductase 2
Q9Y217,MTMR6,MTMR6_HUMAN,Myotubularin-related protein 6
Q5JRX3,PITRM1,PREP_HUMAN,"Presequence protease, mitochondrial"
Q8N945,PRELID2,PRLD2_HUMAN,PRELI domain-containing protein 2
Q8NGP3,OR5M9,OR5M9_HUMAN,Olfactory receptor 5M9
Q9Y5B8,NME7,NDK7_HUMAN,Nucleoside diphosphate kinase 7
Q8NDX1,PSD4,PSD4_HUMAN,PH and SEC7 domain-containing protein 4
O43676,NDUFB3,NDUB3_HUMAN,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 3
Q8NGE2,OR2AP1,O2AP1_HUMAN,Olfactory receptor 2AP1
Q15390,MTFR1,MTFR1_HUMAN,Mitochondrial fission regulator 1
Q12980,NPRL3,NPRL3_HUMAN,GATOR complex protein NPRL3
Q96EY7,PTCD3,PTCD3_HUMAN,"Pentatricopeptide repeat domain-containing protein 3, mitochondrial"
O96013,PAK4,PAK4_HUMAN,Serine/threonine-protein kinase PAK 4
P41222,PTGDS,PTGDS_HUMAN,Prostaglandin-H2 D-isomerase
P28360,MSX1,MSX1_HUMAN,Homeobox protein MSX-1
P30989,NTSR1,NTR1_HUMAN,Neurotensin receptor type 1
P10242,MYB,MYB_HUMAN,Transcriptional activator Myb
Q8IZQ8,MYOCD,MYCD_HUMAN,Myocardin
P55771,PAX9,PAX9_HUMAN,Paired box protein Pax-9
P23511,NFYA,NFYA_HUMAN,Nuclear transcription factor Y subunit alpha
Q99755,PIP5K1A,PI51A_HUMAN,Phosphatidylinositol 4-phosphate 5-kinase type-1 alpha
Q00325,SLC25A3,MPCP_HUMAN,"Phosphate carrier protein, mitochondrial"
Q86SM8,MRGPRE,MRGRE_HUMAN,Mas-related G-protein coupled receptor member E
O95747,OXSR1,OXSR1_HUMAN,Serine/threonine-protein kinase OSR1
Q9NTK5,OLA1,OLA1_HUMAN,Obg-like ATPase 1
Q9BZM1,PLA2G12A,PG12A_HUMAN,Group XIIA secretory phospholipase A2
P01111,NRAS,RASN_HUMAN,GTPase NRas
Q14088,RAB33A,RB33A_HUMAN,Ras-related protein Rab-33A
Q9BR26,OCSTAMP,OCSTP_HUMAN,Osteoclast stimulatory transmembrane protein
Q9UBK7,RABL2A,RBL2A_HUMAN,Rab-like protein 2A
Q8IZ40,RCOR2,RCOR2_HUMAN,REST corepressor 2
Q3KNS1,PTCHD3,PTHD3_HUMAN,Patched domain-containing protein 3
Q9Y5Y6,ST14,ST14_HUMAN,Suppressor of tumorigenicity 14 protein
P61764,STXBP1,STXB1_HUMAN,Syntaxin-binding protein 1
O94768,STK17B,ST17B_HUMAN,Serine/threonine-protein kinase 17B
Q86XR7,TICAM2,TCAM2_HUMAN,TIR domain-containing adapter molecule 2
Q96DA6,DNAJC19,TIM14_HUMAN,Mitochondrial import inner membrane translocase subunit TIM14
Q6ZT07,TBC1D9,TBCD9_HUMAN,TBC1 domain family member 9
Q96GD3,SCMH1,SCMH1_HUMAN,Polycomb protein SCMH1
A4D0T7,SMIM30,SIM30_HUMAN,Small integral membrane protein 30
Q6ZW05,PTCHD4,PTHD4_HUMAN,Patched domain-containing protein 4
W5XKT8,SPACA6,SACA6_HUMAN,Sperm acrosome membrane-associated protein 6
P28827,PTPRM,PTPRM_HUMAN,Receptor-type tyrosine-protein phosphatase mu
Q16849,PTPRN,PTPRN_HUMAN,Receptor-type tyrosine-protein phosphatase-like N
Q9BYC9,MRPL20,RM20_HUMAN,"39S ribosomal protein L20, mitochondrial"
Q9H6E4,CCDC134,CC134_HUMAN,Coiled-coil domain-containing protein 134
Q9NY43,BARHL2,BARH2_HUMAN,BarH-like 2 homeobox protein
Q9ULX7,CA14,CAH14_HUMAN,Carbonic anhydrase 14
Q8IUH2,CREG2,CREG2_HUMAN,Protein CREG2
Q6IPU0,CENPP,CENPP_HUMAN,Centromere protein P
Q96RK4,BBS4,BBS4_HUMAN,Bardet-Biedl syndrome 4 protein
Q16589,CCNG2,CCNG2_HUMAN,Cyclin-G2
Q6ZMN8,CCNI2,CCNI2_HUMAN,Cyclin-I2
Q9UMD9,COL17A1,COHA1_HUMAN,Collagen alpha-1(XVII) chain
Q5TC04,ATP1A1-AS1,ATAS1_HUMAN,Putative uncharacterized protein ATP1A1-AS1
Q9C0F1,CEP44,CEP44_HUMAN,Centrosomal protein of 44 kDa
P00519,ABL1,ABL1_HUMAN,Tyrosine-protein kinase ABL1
P31937,HIBADH,3HIDH_HUMAN,"3-hydroxyisobutyrate dehydrogenase, mitochondrial"
Q9GZX3,CHST6,CHST6_HUMAN,Carbohydrate sulfotransferase 6
Q5SQH8,C6orf136,CF136_HUMAN,Uncharacterized protein C6orf136
P02511,CRYAB,CRYAB_HUMAN,Alpha-crystallin B chain
O95992,CH25H,CH25H_HUMAN,Cholesterol 25-hydroxylase
Q8TE59,ADAMTS19,ATS19_HUMAN,A disintegrin and metalloproteinase with thrombospondin motifs 19
Q9BU20,CPLANE2,CPLN2_HUMAN,Ciliogenesis and planar polarity effector 2
O94766,B3GAT3,B3GA3_HUMAN,Galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferase 3
P59074,CHMP4BP1,CHM4P_HUMAN,Putative charged multivesicular body protein 4B-like protein CHMP4BP1
O76027,ANXA9,ANXA9_HUMAN,Annexin A9
Q15417,CNN3,CNN3_HUMAN,Calponin-3
Q9Y4X0,AMMECR1,AMMR1_HUMAN,AMME syndrome candidate gene 1 protein
Q495D7,LINC01559,CL036_HUMAN,Putative uncharacterized protein encoded by LINC01559
Q6P4Q7,CNNM4,CNNM4_HUMAN,Metal transporter CNNM4
Q8NE01,CNNM3,CNNM3_HUMAN,Metal transporter CNNM3
Q8IXR9,C12orf56,CL056_HUMAN,Uncharacterized protein C12orf56
Q9HAW4,CLSPN,CLSPN_HUMAN,Claspin
Q9UPS8,ANKRD26,ANR26_HUMAN,Ankyrin repeat domain-containing protein 26
O60931,CTNS,CTNS_HUMAN,Cystinosin
P01024,C3,CO3_HUMAN,Complement C3
Q9Y2J4,AMOTL2,AMOL2_HUMAN,Angiomotin-like protein 2
Q9NPI8,FANCF,FANCF_HUMAN,Fanconi anemia group F protein
P61073,CXCR4,CXCR4_HUMAN,C-X-C chemokine receptor type 4
Q9NZI5,GRHL1,GRHL1_HUMAN,Grainyhead-like protein 1 homolog
Q68CQ7,GLT8D1,GL8D1_HUMAN,Glycosyltransferase 8 domain-containing protein 1
Q96D03,DDIT4L,DDT4L_HUMAN,DNA damage-inducible transcript 4-like protein
Q6ZN92,,DUTL_HUMAN,Putative inactive deoxyuridine 5'-triphosphate nucleotidohydrolase-like protein FLJ16323
A6NN73,GOLGA8CP,GOG8C_HUMAN,Golgin subfamily A member 8C
Q9NR61,DLL4,DLL4_HUMAN,Delta-like protein 4
Q9HAV7,GRPEL1,GRPE1_HUMAN,"GrpE protein homolog 1, mitochondrial"
Q8WTR2,DUSP19,DUS19_HUMAN,Dual specificity protein phosphatase 19
O60667,FCMR,FAIM3_HUMAN,Fas apoptotic inhibitory molecule 3
Q96RU3,FNBP1,FNBP1_HUMAN,Formin-binding protein 1
P22083,FUT4,FUT4_HUMAN,"Alpha-(1,3)-fucosyltransferase 4"
Q8WUU5,GATAD1,GATD1_HUMAN,GATA zinc finger domain-containing protein 1
Q5HYA8,TMEM67,MKS3_HUMAN,Meckelin
Q5SQ64,LY6G6F,LY66F_HUMAN,Lymphocyte antigen 6 complex locus protein G6f
P10911,MCF2,MCF2_HUMAN,Proto-oncogene DBL
P24043,LAMA2,LAMA2_HUMAN,Laminin subunit alpha-2
Q92952,KCNN1,KCNN1_HUMAN,Small conductance calcium-activated potassium channel protein 1
Q14952,KIR2DS3,KI2S3_HUMAN,Killer cell immunoglobulin-like receptor 2DS3
Q8N6L1,KRTCAP2,KTAP2_HUMAN,Keratinocyte-associated protein 2
Q6TFL4,KLHL24,KLH24_HUMAN,Kelch-like protein 24
Q96EL1,INKA1,INKA1_HUMAN,PAK4-inhibitor INKA1
O75334,PPFIA2,LIPA2_HUMAN,Liprin-alpha-2
Q9Y5X9,LIPG,LIPE_HUMAN,Endothelial lipase
Q9ULG1,INO80,INO80_HUMAN,Chromatin-remodeling ATPase INO80
Q9NR64,KLHL1,KLHL1_HUMAN,Kelch-like protein 1
Q96H12,MSANTD3,MSD3_HUMAN,Myb/SANT-like DNA-binding domain-containing protein 3
Q00G26,PLIN5,PLIN5_HUMAN,Perilipin-5
Q96CC6,RHBDF1,RHDF1_HUMAN,Inactive rhomboid protein 1
Q68DV7,RNF43,RNF43_HUMAN,E3 ubiquitin-protein ligase RNF43
A0A1B0GV85,REELD1,RELD1_HUMAN,Reelin domain-containing protein 1
Q9NYV6,RRN3,RRN3_HUMAN,RNA polymerase I-specific transcription initiation factor RRN3
Q9BRQ0,PYGO2,PYGO2_HUMAN,Pygopus homolog 2
P20962,PTMS,PTMS_HUMAN,Parathymosin
Q9UBD6,RHCG,RHCG_HUMAN,Ammonium transporter Rh type C
A6NLU0,RFPL4A,RFPLA_HUMAN,Ret finger protein-like 4A
P01270,PTH,PTHY_HUMAN,Parathyroid hormone
Q6P161,MRPL54,RM54_HUMAN,"39S ribosomal protein L54, mitochondrial"
Q96EL3,MRPL53,RM53_HUMAN,"39S ribosomal protein L53, mitochondrial"
Q7Z7F7,MRPL55,RM55_HUMAN,"39S ribosomal protein L55, mitochondrial"
P22234,PAICS,PUR6_HUMAN,Multifunctional protein ADE2
Q8TEB7,RNF128,RN128_HUMAN,E3 ubiquitin-protein ligase RNF128
Q6ZWJ1,STXBP4,STXB4_HUMAN,Syntaxin-binding protein 4
Q7Z6M3,MILR1,MILR1_HUMAN,Allergin-1
P47813,EIF1AX,IF1AX_HUMAN,"Eukaryotic translation initiation factor 1A, X-chromosomal"
P43626,KIR2DL1,KI2L1_HUMAN,Killer cell immunoglobulin-like receptor 2DL1
Q86SY8,KTN1-AS1,KTAS1_HUMAN,Putative uncharacterized protein KTN1-AS1
P51787,KCNQ1,KCNQ1_HUMAN,Potassium voltage-gated channel subfamily KQT member 1
Q04759,PRKCQ,KPCT_HUMAN,Protein kinase C theta type
P46940,IQGAP1,IQGA1_HUMAN,Ras GTPase-activating-like protein IQGAP1
Q9H207,OR10A5,O10A5_HUMAN,Olfactory receptor 10A5
Q9BY49,PECR,PECR_HUMAN,Peroxisomal trans-2-enoyl-CoA reductase
O75127,PTCD1,PTCD1_HUMAN,"Pentatricopeptide repeat-containing protein 1, mitochondrial"
Q8NGG0,OR8J3,OR8J3_HUMAN,Olfactory receptor 8J3
P41227,NAA10,NAA10_HUMAN,N-alpha-acetyltransferase 10
O43189,PHF1,PHF1_HUMAN,PHD finger protein 1
P53384,NUBP1,NUBP1_HUMAN,Cytosolic Fe-S cluster assembly factor NUBP1
Q15042,RAB3GAP1,RB3GP_HUMAN,Rab3 GTPase-activating protein catalytic subunit
P13631,RARG,RARG_HUMAN,Retinoic acid receptor gamma
P23921,RRM1,RIR1_HUMAN,Ribonucleoside-diphosphate reductase large subunit
Q96S21,RAB40C,RB40C_HUMAN,Ras-related protein Rab-40C
Q9H0K6,PUS7L,PUS7L_HUMAN,Pseudouridylate synthase 7 homolog-like protein
Q96P65,QRFPR,QRFPR_HUMAN,Pyroglutamylated RF-amide peptide receptor
P27708,CAD,PYR1_HUMAN,CAD protein
P04090,RLN2,REL2_HUMAN,Prorelaxin H2
Q15382,RHEB,RHEB_HUMAN,GTP-binding protein Rheb
Q9BZE2,PUS3,PUS3_HUMAN,tRNA pseudouridine(38/39) synthase
Q96K49,TMEM87B,TM87B_HUMAN,Transmembrane protein 87B
P22531,SPRR2E,SPR2E_HUMAN,Small proline-rich protein 2E
Q96RS0,TGS1,TGS1_HUMAN,Trimethylguanosine synthase
Q6UW68,TMEM205,TM205_HUMAN,Transmembrane protein 205
Q6UWW9,TMEM207,TM207_HUMAN,Transmembrane protein 207
P54274,TERF1,TERF1_HUMAN,Telomeric repeat-binding factor 1
Q8N6Q1,TMCO5A,TMC5A_HUMAN,Transmembrane and coiled-coil domain-containing protein 5A
P43307,SSR1,SSRA_HUMAN,Translocon-associated protein subunit alpha
Q8N9R8,SCAI,SCAI_HUMAN,Protein SCAI
Q7Z402,TMC7,TMC7_HUMAN,Transmembrane channel-like protein 7
Q9NQC3,RTN4,RTN4_HUMAN,Reticulon-4
O14669,PRRG2,TMG2_HUMAN,Transmembrane gamma-carboxyglutamic acid protein 2
Q7L2R6,ZNF765,ZN765_HUMAN,Zinc finger protein 765
Q9Y4E1,WASHC2C,WAC2C_HUMAN,WASH complex subunit 2C
Q96T88,UHRF1,UHRF1_HUMAN,E3 ubiquitin-protein ligase UHRF1
P30291,WEE1,WEE1_HUMAN,Wee1-like protein kinase
Q6ZU65,UBN2,UBN2_HUMAN,Ubinuclein-2
Q6UX27,VSTM1,VSTM1_HUMAN,V-set and transmembrane domain-containing protein 1
P68543,UBXN2A,UBX2A_HUMAN,UBX domain-containing protein 2A
Q702N8,XIRP1,XIRP1_HUMAN,Xin actin-binding repeat-containing protein 1
B4DU55,ZNF879,ZN879_HUMAN,Zinc finger protein 879
Q9Y4X1,UGT2A1,UD2A1_HUMAN,UDP-glucuronosyltransferase 2A1
P0DP72,VSIG10L2,VSXL2_HUMAN,V-set and immunoglobulin domain-containing protein 10-like 2
Q70CQ1,USP49,UBP49_HUMAN,Ubiquitin carboxyl-terminal hydrolase 49
P17027,ZNF23,ZNF23_HUMAN,Zinc finger protein 23
Q9Y2K6,USP20,UBP20_HUMAN,Ubiquitin carboxyl-terminal hydrolase 20
Q96RP3,UCN2,UCN2_HUMAN,Urocortin-2
Q5GFL6,VWA2,VWA2_HUMAN,von Willebrand factor A domain-containing protein 2
Q6ZVQ6,,YS045_HUMAN,Putative uncharacterized protein FLJ42213
Q8N3U1,,YS014_HUMAN,Putative uncharacterized protein LOC400692
Q9NUD5,ZCCHC3,ZCHC3_HUMAN,Zinc finger CCHC domain-containing protein 3
Q8TAA9,VANGL1,VANG1_HUMAN,Vang-like protein 1
Q8N9G6,,YJ012_HUMAN,Putative UPF0607 protein FLJ37424
A1L157,TSPAN11,TSN11_HUMAN,Tetraspanin-11
P0CG31,ZNF286B,Z286B_HUMAN,Putative zinc finger protein 286B
Q96DT7,ZBTB10,ZBT10_HUMAN,Zinc finger and BTB domain-containing protein 10
O60294,LCMT2,TYW4_HUMAN,tRNA wybutosine-synthesizing protein 4
Q6ZN44,UNC5A,UNC5A_HUMAN,Netrin receptor UNC5A
Q9P0L0,VAPA,VAPA_HUMAN,Vesicle-associated membrane protein-associated protein A
Q6UX98,ZDHHC24,ZDH24_HUMAN,Probable palmitoyltransferase ZDHHC24
Q9NNX1,TUFT1,TUFT1_HUMAN,Tuftelin
A8MWA4,ZNF705E,Z705E_HUMAN,Putative zinc finger protein 705E
Q9P2R6,RERE,RERE_HUMAN,Arginine-glutamic acid dipeptide repeats protein
Q9BYD2,MRPL9,RM09_HUMAN,"39S ribosomal protein L9, mitochondrial"
P56182,RRP1,RRP1_HUMAN,Ribosomal RNA processing protein 1 homolog A
Q9Y388,RBMX2,RBMX2_HUMAN,"RNA-binding motif protein, X-linked 2"
P53803,POLR2K,RPAB4_HUMAN,"DNA-directed RNA polymerases I, II, and III subunit RPABC4"
Q12923,PTPN13,PTN13_HUMAN,Tyrosine-protein phosphatase non-receptor type 13
Q9H2W6,MRPL46,RM46_HUMAN,"39S ribosomal protein L46, mitochondrial"
Q86TS9,MRPL52,RM52_HUMAN,"39S ribosomal protein L52, mitochondrial"
Q9UET6,FTSJ1,TRM7_HUMAN,Putative tRNA (cytidine(32)/guanosine(34)-2'-O)-methyltransferase
O75069,TMCC2,TMCC2_HUMAN,Transmembrane and coiled-coil domains protein 2
P30626,SRI,SORCN_HUMAN,Sorcin
Q9UQQ2,SH2B3,SH2B3_HUMAN,SH2B adapter protein 3
Q71RC9,SMIM5,SMIM5_HUMAN,Small integral membrane protein 5
Q9P289,STK26,STK26_HUMAN,Serine/threonine-protein kinase 26
Q99590,SCAF11,SCAFB_HUMAN,Protein SCAF11
Q6ZT21,TMPPE,TMPPE_HUMAN,Transmembrane protein with metallophosphoesterase domain
Q9BYT3,STK33,STK33_HUMAN,Serine/threonine-protein kinase 33
Q9NS62,THSD1,THSD1_HUMAN,Thrombospondin type-1 domain-containing protein 1
Q53EQ6,TIGD5,TIGD5_HUMAN,Tigger transposable element-derived protein 5
Q96MV1,TLCD4,TLCD4_HUMAN,TLC domain-containing protein 4
O60315,ZEB2,ZEB2_HUMAN,Zinc finger E-box-binding homeobox 2
Q8WUA8,TSKU,TSK_HUMAN,Tsukushin
O75467,ZNF324,Z324A_HUMAN,Zinc finger protein 324A
Q96AX1,VPS33A,VP33A_HUMAN,Vacuolar protein sorting-associated protein 33A
A0A0B4J2E0,TRBV12-4,TVBL4_HUMAN,T cell receptor beta variable 12-4
Q9BXA6,TSSK6,TSSK6_HUMAN,Testis-specific serine/threonine-protein kinase 6
Q8WVZ1,ZDHHC19,ZDH19_HUMAN,Probable palmitoyltransferase ZDHHC19
Q8IWR0,ZC3H7A,Z3H7A_HUMAN,Zinc finger CCCH domain-containing protein 7A
O75290,ZNF780A,Z780A_HUMAN,Zinc finger protein 780A
Q9UIW0,VAX2,VAX2_HUMAN,Ventral anterior homeobox 2
O60637,TSPAN3,TSN3_HUMAN,Tetraspanin-3
O00762,UBE2C,UBE2C_HUMAN,Ubiquitin-conjugating enzyme E2 C
Q8WUU4,ZNF296,ZN296_HUMAN,Zinc finger protein 296
Q5VUA4,ZNF318,ZN318_HUMAN,Zinc finger protein 318
Q8N8H1,ZNF321P,ZN321_HUMAN,Putative protein ZNF321
Q6Q795,,VBPC1_HUMAN,Putative viral protein-binding protein C1
Q6ZVL8,,YP033_HUMAN,Putative uncharacterized protein FLJ42384
A0A0A6YYC5,TRAV14DV4,TVA14_HUMAN,T cell receptor alpha variable 14/delta variable 4
O15062,ZBTB5,ZBTB5_HUMAN,Zinc finger and BTB domain-containing protein 5
P52739,ZNF131,ZN131_HUMAN,Zinc finger protein 131
P61129,ZC3H6,ZC3H6_HUMAN,Zinc finger CCCH domain-containing protein 6
Q7RTV3,ZNF367,ZN367_HUMAN,Zinc finger protein 367
A0A539,TRBV4-2,TVB42_HUMAN,T cell receptor beta variable 4-2
Q5VIY5,ZNF468,ZN468_HUMAN,Zinc finger protein 468
Q96SR6,ZNF382,ZN382_HUMAN,Zinc finger protein 382
Q14929,ZNF169,ZN169_HUMAN,Zinc finger protein 169
Q09FC8,ZNF415,ZN415_HUMAN,Zinc finger protein 415
Q8N976,,YG039_HUMAN,Putative uncharacterized protein FLJ38264
Q8WUG5,SLC22A17,S22AH_HUMAN,Solute carrier family 22 member 17
Q7Z7H5,TMED4,TMED4_HUMAN,Transmembrane emp24 domain-containing protein 4
Q9BSK2,SLC25A33,S2533_HUMAN,Solute carrier family 25 member 33
Q7Z6K1,THAP5,THAP5_HUMAN,THAP domain-containing protein 5
O15393,TMPRSS2,TMPS2_HUMAN,Transmembrane protease serine 2
Q9UIK5,TMEFF2,TEFF2_HUMAN,Tomoregulin-2
Q8IYR6,TMEFF1,TEFF1_HUMAN,Tomoregulin-1
O15020,SPTBN2,SPTN2_HUMAN,"Spectrin beta chain, non-erythrocytic 2"
Q96BV0,ZNF775,ZN775_HUMAN,Zinc finger protein 775
Q8TAG6,VXN,VEXIN_HUMAN,Vexin
Q9P2H5,USP35,UBP35_HUMAN,Ubiquitin carboxyl-terminal hydrolase 35
Q3MJ13,WDR72,WDR72_HUMAN,WD repeat-containing protein 72
P02774,GC,VTDB_HUMAN,Vitamin D-binding protein
P17026,ZNF22,ZNF22_HUMAN,Zinc finger protein 22
Q9Y2I8,WDR37,WDR37_HUMAN,WD repeat-containing protein 37
Q9BZA5,TXLNGY,TXNG2_HUMAN,Putative gamma-taxilin 2
Q02386,ZNF45,ZNF45_HUMAN,Zinc finger protein 45
Q9HA47,UCK1,UCK1_HUMAN,Uridine-cytidine kinase 1
Q8WW36,ZCCHC13,ZCH13_HUMAN,Zinc finger CCHC domain-containing protein 13
B2RUY7,VWC2L,VWC2L_HUMAN,von Willebrand factor C domain-containing protein 2-like
P37288,AVPR1A,V1AR_HUMAN,Vasopressin V1a receptor
Q8WZ26,PP6455,YS006_HUMAN,Putative uncharacterized protein PP6455
P13051,UNG,UNG_HUMAN,Uracil-DNA glycosylase
A0A0B4J266,TRAV41,TVA41_HUMAN,T cell receptor alpha variable 41
P58317,ZNF121,ZN121_HUMAN,Zinc finger protein 121
Q96GY0,ZC2HC1A,ZC21A_HUMAN,Zinc finger C2HC domain-containing protein 1A
Q8TAW3,ZNF671,ZN671_HUMAN,Zinc finger protein 671
P52747,ZNF143,ZN143_HUMAN,Zinc finger protein 143
P30536,TSPO,TSPO_HUMAN,Translocator protein
Q13106,ZNF154,ZN154_HUMAN,Zinc finger protein 154
Q8N1G0,ZNF687,ZN687_HUMAN,Zinc finger protein 687
Q13398,ZNF211,ZN211_HUMAN,Zinc finger protein 211
A0A0J9YX75,TRBV6-9,TVB69_HUMAN,T cell receptor beta variable 6-9
Q8WTR7,ZNF473,ZN473_HUMAN,Zinc finger protein 473
Q8N8L2,ZNF491,ZN491_HUMAN,Zinc finger protein 491
Q9NYS7,WSB2,WSB2_HUMAN,WD repeat and SOCS box-containing protein 2
Q9P2U7,SLC17A7,VGLU1_HUMAN,Vesicular glutamate transporter 1
P11473,VDR,VDR_HUMAN,Vitamin D3 receptor
